precision video #:93 precision:0.95822  missrate: 0.04178 falserate:0.90149 
precision video #:94 precision:0.95484  missrate: 0.045161 falserate:0.8479 
precision video #:95 precision:0.96325  missrate: 0.036749 falserate:0.76666 
precision video #:96 precision:0.96992  missrate: 0.030075 falserate:0.89435 
precision video #:97 precision:0.94156  missrate: 0.058442 falserate:0.90442 
precision video #:98 precision:0.9646  missrate: 0.035403 falserate:0.52941 
precision video #:99 precision:0.96848  missrate: 0.031517 falserate:0.83225 
precision video #:100 precision:0.97142  missrate: 0.028581 falserate:0.84992 
precision video #:101 precision:0  missrate: 1 falserate:1 
precision video #:102 precision:0  missrate: 1 falserate:1 
precision video #:103 precision:0.96932  missrate: 0.030685 falserate:0.82346 
precision video #:104 precision:0  missrate: 1 falserate:1 

 mAP: 0.85568,Mean Miss Rate: 0.14432, Mean False rate: 0.76137 recall:0.80769
